,postal_code,school_name,address,mainlevel_code,Latitude,Longitude
129,649295,RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,PRIMARY,1.346738689,103.718458
130,649332,SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,PRIMARY,1.346869673,103.7215594
131,649930,BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,PRIMARY,1.342840138,103.7128584
132,659163,PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,PRIMARY,1.349190989,103.7407192
133,659243,LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,PRIMARY,1.354241911,103.7541658
134,659401,ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,PRIMARY,1.364119485,103.7492519
135,659441,DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,PRIMARY,1.359403453,103.7482654
136,659634,BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,PRIMARY,1.346254691,103.7533036
137,659762,KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,PRIMARY,1.3455285,103.7564494
138,677742,WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,PRIMARY,1.383785465,103.7602734
139,677744,GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,PRIMARY,1.385889219,103.7677945
140,679002,ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,PRIMARY,1.379428736,103.7697032
141,679287,CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,PRIMARY,1.366603669,103.7674122
142,679676,BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,PRIMARY,1.3735009,103.7694173
