school_name,address,postal_code,mainlevel_code,,City,Country
SERANGOON SECONDARY SCHOOL,11   UPPER SERANGOON VIEW,534237,SECONDARY,,Singapore,Singapore
SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,SECONDARY,,Singapore,Singapore
SPECTRA SECONDARY SCHOOL,1    WOODLANDS DRIVE 64,737758,SECONDARY,,Singapore,Singapore
SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,529593,SECONDARY,,Singapore,Singapore
ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,359342,SECONDARY,,Singapore,Singapore
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,SECONDARY,,Singapore,Singapore
ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,556140,SECONDARY,,Singapore,Singapore
ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,528986,SECONDARY,,Singapore,Singapore
ST. JOSEPH'S INSTITUTION,38   MALCOLM ROAD,308274,MIXED LEVELS,,Singapore,Singapore
ST. MARGARET'S SECONDARY SCHOOL,111  FARRER ROAD,259240,SECONDARY,,Singapore,Singapore
ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,429058,SECONDARY,,Singapore,Singapore
SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,659322,SECONDARY,,Singapore,Singapore
TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,529427,SECONDARY,,Singapore,Singapore
TANGLIN SECONDARY SCHOOL,301  WEST COAST ROAD,127391,SECONDARY,,Singapore,Singapore
TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,439272,SECONDARY,,Singapore,Singapore
TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,438796,SECONDARY,,Singapore,Singapore
TECK WHYE SECONDARY SCHOOL,31   TECK WHYE CRESCENT,688848,SECONDARY,,Singapore,Singapore
TEMASEK JUNIOR COLLEGE,22   BEDOK SOUTH ROAD,469278,MIXED LEVELS,,Singapore,Singapore
TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,465561,SECONDARY,,Singapore,Singapore
UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,689143,SECONDARY,,Singapore,Singapore
VICTORIA SCHOOL,2    SIGLAP LINK,448880,SECONDARY,,Singapore,Singapore
WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,677737,SECONDARY,,Singapore,Singapore
WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,648350,SECONDARY,,Singapore,Singapore
WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,579747,SECONDARY,,Singapore,Singapore
WOODGROVE SECONDARY SCHOOL,3    WOODLANDS AVENUE 6,738990,SECONDARY,,Singapore,Singapore
WOODLANDS RING SECONDARY SCHOOL,10   WOODLANDS RING ROAD,738239,SECONDARY,,Singapore,Singapore
WOODLANDS SECONDARY SCHOOL,11   MARSILING ROAD,739111,SECONDARY,,Singapore,Singapore
XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,538789,SECONDARY,,Singapore,Singapore
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,SECONDARY,,Singapore,Singapore
YISHUN SECONDARY SCHOOL,4    YISHUN STREET 71,768516,SECONDARY,,Singapore,Singapore
YISHUN TOWN SECONDARY SCHOOL,6    YISHUN STREET 21,768610,SECONDARY,,Singapore,Singapore
YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,618654,SECONDARY,,Singapore,Singapore
YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,649406,SECONDARY,,Singapore,Singapore
YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,658712,SECONDARY,,Singapore,Singapore
YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,538884,SECONDARY,,Singapore,Singapore
ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,677741,SECONDARY,,Singapore,Singapore
ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,556123,SECONDARY,,Singapore,Singapore
